location,contact_no,price_euro,property_type,area_sqm
GOZO,79016961,580000,FARMHOUSE,
GOZO,79016961,80000,APARTMENT,
GOZO,79016961,82000,SHOP,
GOZO,79016961,82000,TOWNHOUSE,
GOZO,79016961,90000,APARTMENT,
GOZO,79016961,95000,APARTMENT,
GOZO,79016987,115000,APARTMENT,
GOZO,79016987,258000,HOUSE,
GOZO,79016987,270000,MAISONETTE,
GOZO,79016987,295000,HOTEL,
GOZO,79016987,636000,FARMHOUSE,
GOZO,79016987,,APARTMENT,130
GOZO,79024267,,SITE,
GOZO,79039999,110000,APARTMENT,
GOZO,79039999,85000,APARTMENT,
GOZO,79058985,275000,APARTMENT,
GOZO,79061169,,SITE,
GOZO,79069413,104821,PENTHOUSE,
GOZO,79069413,110000,APARTMENT,
GOZO,79069413,110000,PENTHOUSE,
GOZO,79069413,125000,MAISONETTE,
GOZO,79069413,135000,PENTHOUSE,130
GOZO,79069413,65000,MAISONETTE,100
GOZO,79069413,68000,APARTMENT,
GOZO,79069413,95000,APARTMENT,
GOZO,79069413,,MAISONETTE,100
GOZO,79204114,,APARTMENT,455
GOZO,79204114,,HOUSE,455
GOZO,79205520,105000,APARTMENT,
GOZO,79205520,115000,APARTMENT,
GOZO,79205520,123000,APARTMENT,
GOZO,79205520,125000,APARTMENT,
GOZO,79205520,140000,APARTMENT,150
GOZO,79205520,145000,APARTMENT,
GOZO,79205520,147000,APARTMENT,
GOZO,79205520,150000,PENTHOUSE,
GOZO,79205520,155000,HOUSE,30
GOZO,79205520,160000,APARTMENT,
GOZO,79205520,160000,APARTMENT,160
GOZO,79205520,165000,PENTHOUSE,
GOZO,79205520,169000,APARTMENT,
GOZO,79205520,180000,APARTMENT,150
GOZO,79205520,180000,APARTMENT,30
GOZO,79205520,180000,MAISONETTE,80
GOZO,79205520,189000,HOUSE,160000
GOZO,79205520,189000,PLOT,160000
GOZO,79205520,195000,APARTMENT,
GOZO,79205520,215000,APARTMENT,
GOZO,79205520,225000,FARMHOUSE,
GOZO,79205520,230000,HOUSE,
GOZO,79205520,250000,APARTMENT,
GOZO,79205520,250000,FARMHOUSE,
GOZO,79205520,260000,HOUSE,
GOZO,79205520,325000,FARMHOUSE,
GOZO,79205520,345000,HOUSE,
GOZO,79205520,349000,HOUSE,
GOZO,79205520,359000,HOUSE,
GOZO,79205520,370000,APARTMENT,
GOZO,79205520,3e+05,HOUSE,
GOZO,79205520,4e+05,HOUSE,
GOZO,79205520,72000,APARTMENT,
GOZO,79205520,75000,APARTMENT,
GOZO,79205520,85000,APARTMENT,
GOZO,79205520,85000,APARTMENT,130
GOZO,79205520,86000,APARTMENT,
GOZO,79205520,86000,APARTMENT,110
GOZO,79205520,90000,APARTMENT,
GOZO,79205520,90000,APARTMENT,90
GOZO,79205520,90000,MAISONETTE,
GOZO,79205520,93000,APARTMENT,
GOZO,79205520,95000,APARTMENT,
GOZO,79213733,359000,HOUSE,500
GOZO,79221227,103000,APARTMENT,
GOZO,79221227,113000,APARTMENT,
GOZO,79221227,120000,APARTMENT,
GOZO,79221227,120000,PENTHOUSE,
GOZO,79221227,126000,PENTHOUSE,
GOZO,79221227,127000,APARTMENT,
GOZO,79221227,127000,PENTHOUSE,
GOZO,79221227,130000,APARTMENT,
GOZO,79221227,135000,APARTMENT,
GOZO,79221227,140000,MAISONETTE,
GOZO,79221227,144000,PENTHOUSE,
GOZO,79221227,145000,PENTHOUSE,
GOZO,79221227,148000,APARTMENT,
GOZO,79221227,149000,PENTHOUSE,
GOZO,79221227,159000,PENTHOUSE,
GOZO,79221227,160000,APARTMENT,
GOZO,79221227,165000,PENTHOUSE,
GOZO,79221227,170000,APARTMENT,
GOZO,79221227,170000,HOUSE,
GOZO,79221227,170000,PLOT,
GOZO,79221227,175000,PLOT,
GOZO,79221227,180000,MAISONETTE,
GOZO,79221227,185000,TOWNHOUSE,
GOZO,79221227,190000,APARTMENT,
GOZO,79221227,195000,HOUSE,
GOZO,79221227,197000,APARTMENT,
GOZO,79221227,198000,APARTMENT,
GOZO,79221227,205000,PLOT,
GOZO,79221227,205000,TOWNHOUSE,
GOZO,79221227,230000,HOUSE,
GOZO,79221227,240000,APARTMENT,125
GOZO,79221227,275000,FARMHOUSE,
GOZO,79221227,275000,HOUSE,
GOZO,79221227,2e+05,APARTMENT,
GOZO,79221227,2e+05,TOWNHOUSE,
GOZO,79221227,310000,FARMHOUSE,
GOZO,79221227,310000,TOWNHOUSE,
GOZO,79221227,350000,HOUSE,
GOZO,79221227,350000,HOUSE,130
GOZO,79221227,375000,HOUSE,
GOZO,79221227,63000,APARTMENT,100
GOZO,79221227,70000,APARTMENT,
GOZO,79221227,80000,APARTMENT,
GOZO,79221227,85000,APARTMENT,
GOZO,79221227,89000,APARTMENT,
GOZO,79221227,90000,APARTMENT,
GOZO,79221227,93000,APARTMENT,
GOZO,79221227,95000,APARTMENT,
GOZO,79221227,,APARTMENT,
GOZO,79221227,,FARMHOUSE,
GOZO,79221227,,HOUSE,
GOZO,79256978,120000,PLOT,
GOZO,79261021,105000,MAISONETTE,
GOZO,79261021,110000,MAISONETTE,
GOZO,79261021,120000,PENTHOUSE,
GOZO,79261021,123000,APARTMENT,
GOZO,79261021,135000,APARTMENT,
GOZO,79261021,139000,APARTMENT,
GOZO,79261021,150000,APARTMENT,
GOZO,79261021,150000,MAISONETTE,
GOZO,79261021,150000,PLOT,158
GOZO,79261021,170000,PLOT,225
GOZO,79261021,175000,APARTMENT,
GOZO,79261021,180000,PLOT,
GOZO,79261021,190000,APARTMENT,
GOZO,79261021,190000,HOUSE,
GOZO,79261021,1e+05,APARTMENT,
GOZO,79261021,203000,APARTMENT,
GOZO,79261021,204000,APARTMENT,
GOZO,79261021,210000,MAISONETTE,
GOZO,79261021,210000,PLOT,
GOZO,79261021,210000,PLOT,187.26
GOZO,79261021,220000,HOUSE,
GOZO,79261021,233000,TOWNHOUSE,
GOZO,79261021,235000,HOUSE,
GOZO,79261021,235000,TOWNHOUSE,
GOZO,79261021,240000,APARTMENT,
GOZO,79261021,245000,APARTMENT,
GOZO,79261021,255000,TOWNHOUSE,
GOZO,79261021,275000,APARTMENT,
GOZO,79261021,280000,HOUSE,
GOZO,79261021,286000,HOUSE,
GOZO,79261021,310000,TOWNHOUSE,
GOZO,79261021,345000,APARTMENT,
GOZO,79261021,345000,HOUSE,
GOZO,79261021,350000,BUNGALOW,
GOZO,79261021,375000,HOUSE,
GOZO,79261021,435000,TOWNHOUSE,
GOZO,79261021,70000,APARTMENT,
GOZO,79261021,725000,VILLA,
GOZO,79261021,85000,APARTMENT,
GOZO,79261021,88000,APARTMENT,
GOZO,79261021,,APARTMENT,
GOZO,79264305,105000,MAISONETTE,
GOZO,79264305,110000,APARTMENT,
GOZO,79264305,110000,FARMHOUSE,
GOZO,79264305,111000,APARTMENT,
GOZO,79264305,112000,MAISONETTE,
GOZO,79264305,116000,APARTMENT,
GOZO,79264305,120000,FARMHOUSE,
GOZO,79264305,127000,APARTMENT,
GOZO,79264305,130000,PENTHOUSE,
GOZO,79264305,135000,PENTHOUSE,
GOZO,79264305,138000,MAISONETTE,
GOZO,79264305,148000,APARTMENT,
GOZO,79264305,148000,PENTHOUSE,
GOZO,79264305,149000,APARTMENT,
GOZO,79264305,159000,PENTHOUSE,
GOZO,79264305,160000,APARTMENT,
GOZO,79264305,160000,MAISONETTE,
GOZO,79264305,160000,PENTHOUSE,
GOZO,79264305,165000,PENTHOUSE,
GOZO,79264305,180000,HOUSE,
GOZO,79264305,185000,HOUSE,
GOZO,79264305,185000,PENTHOUSE,
GOZO,79264305,188000,APARTMENT,
GOZO,79264305,198000,APARTMENT,
GOZO,79264305,1e+05,APARTMENT,
GOZO,79264305,215000,APARTMENT,
GOZO,79264305,218000,FARMHOUSE,
GOZO,79264305,240000,HOUSE,
GOZO,79264305,250000,HOUSE,
GOZO,79264305,255000,FARMHOUSE,
GOZO,79264305,255000,HOUSE,
GOZO,79264305,255000,TOWNHOUSE,
GOZO,79264305,270000,HOUSE,265
GOZO,79264305,275000,HOUSE,
GOZO,79264305,290000,FARMHOUSE,
GOZO,79264305,295000,FARMHOUSE,
GOZO,79264305,299000,HOUSE,
GOZO,79264305,313000,HOUSE,
GOZO,79264305,315000,FARMHOUSE,
GOZO,79264305,320000,FARMHOUSE,
GOZO,79264305,320000,HOUSE,
GOZO,79264305,330000,FARMHOUSE,
GOZO,79264305,330000,HOUSE,
GOZO,79264305,350000,HOUSE,
GOZO,79264305,375000,FARMHOUSE,
GOZO,79264305,375000,HOUSE,
GOZO,79264305,390000,HOUSE,
GOZO,79264305,395000,HOUSE,
GOZO,79264305,58000,APARTMENT,
GOZO,79264305,63500,APARTMENT,
GOZO,79264305,64000,APARTMENT,
GOZO,79264305,65000,APARTMENT,
GOZO,79264305,71000,APARTMENT,
GOZO,79264305,75000,APARTMENT,
GOZO,79264305,75000,APARTMENT,90
GOZO,79264305,78500,APARTMENT,
GOZO,79264305,79000,BAR,
GOZO,79264305,83000,PENTHOUSE,
GOZO,79264305,85000,APARTMENT,
GOZO,79264305,86000,APARTMENT,
GOZO,79264305,89000,APARTMENT,
GOZO,79264305,90000,APARTMENT,
GOZO,79264305,93000,APARTMENT,137
GOZO,79264305,95000,PENTHOUSE,
GOZO,79264305,98000,MAISONETTE,
GOZO,79264305,,APARTMENT,
GOZO,79264305,,MAISONETTE,300
GOZO,79264305,,PENTHOUSE,
GOZO,79267032,440000,TOWNHOUSE,
GOZO,79267072,225000,PLOT,
GOZO,79267072,225000,PLOT,309
GOZO,79267072,245000,PLOT,309
GOZO,79272465,110000,APARTMENT,
GOZO,79275625,130000,FLAT,
GOZO,79277241,118000,APARTMENT,
GOZO,79287992,75000,APARTMENT,
GOZO,79287992,80000,APARTMENT,
GOZO,79296978,120000,PLOT,
GOZO,79303293,,TOWNHOUSE,
GOZO,79321399,,PLOT,
GOZO,79426773,10000,APARTMENT,
GOZO,79427569,103000,APARTMENT,
GOZO,79427569,107000,MAISONETTE,
GOZO,79427569,115000,APARTMENT,
GOZO,79427569,160000,APARTMENT,
GOZO,79427569,165000,PENTHOUSE,
GOZO,79427569,180000,TOWNHOUSE,
GOZO,79427569,185000,APARTMENT,
GOZO,79427569,185000,FARMHOUSE,
GOZO,79427569,1e+05,MAISONETTE,
GOZO,79427569,240000,APARTMENT,
GOZO,79427569,240000,PENTHOUSE,
GOZO,79427569,285000,PENTHOUSE,
GOZO,79427569,350000,TOWNHOUSE,300
GOZO,79427569,375000,HOUSE,
GOZO,79427569,4e+05,FARMHOUSE,490
GOZO,79427569,53000,APARTMENT,
GOZO,79427569,69000,APARTMENT,
GOZO,79427569,80000,APARTMENT,
GOZO,79427569,,APARTMENT,
GOZO,79427569,,FARMHOUSE,
GOZO,79440132,,APARTMENT,
GOZO,79470419,105000,MAISONETTE,
GOZO,79470419,108000,APARTMENT,
GOZO,79470419,117000,APARTMENT,
GOZO,79470419,124000,MAISONETTE,
GOZO,79470419,125000,APARTMENT,
GOZO,79470419,125000,HOUSE,
GOZO,79470419,125000,MAISONETTE,
GOZO,79470419,127000,APARTMENT,
GOZO,79470419,130000,APARTMENT,
GOZO,79470419,135000,APARTMENT,
GOZO,79470419,140000,APARTMENT,
GOZO,79470419,140000,HOUSE,
GOZO,79470419,140000,PENTHOUSE,
GOZO,79470419,145000,PENTHOUSE,
GOZO,79470419,150000,APARTMENT,
GOZO,79470419,154000,TOWNHOUSE,
GOZO,79470419,160000,APARTMENT,180
GOZO,79470419,165000,APARTMENT,
GOZO,79470419,169000,TOWNHOUSE,
GOZO,79470419,180600,MAISONETTE,180
GOZO,79470419,190000,APARTMENT,
GOZO,79470419,215000,TOWNHOUSE,
GOZO,79470419,233000,HOUSE,
GOZO,79470419,261000,HOUSE,
GOZO,79470419,293000,HOUSE,
GOZO,79470419,295000,HOUSE,
GOZO,79470419,2e+05,PENTHOUSE,150
GOZO,79470419,303000,HOUSE,
GOZO,79470419,320000,HOUSE,
GOZO,79470419,325000,HOUSE,
GOZO,79470419,370000,HOUSE,
GOZO,79470419,49500,APARTMENT,
GOZO,79470419,53000,APARTMENT,
GOZO,79470419,80000,APARTMENT,
GOZO,79470419,80000,MAISONETTE,
GOZO,79470419,85000,HOUSE,
GOZO,79470419,85000,MAISONETTE,
GOZO,79470419,90500,APARTMENT,
GOZO,79470419,99000,APARTMENT,
GOZO,79471071,165000,APARTMENT,
GOZO,79471071,175000,APARTMENT,
GOZO,79471071,2e+05,APARTMENT,
GOZO,79471071,35000,APARTMENT,5000
GOZO,79471704,173000,PLOT,95
GOZO,79471704,295000,HOUSE,
GOZO,79471704,96000,MAISONETTE,
GOZO,79479583,,APARTMENT,
GOZO,79479588,,APARTMENT,
GOZO,79490827,110000,APARTMENT,
GOZO,79490827,130000,APARTMENT,
GOZO,79490827,131000,PENTHOUSE,
GOZO,79490827,132000,APARTMENT,
GOZO,79490827,137000,MAISONETTE,
GOZO,79490827,155000,MAISONETTE,
GOZO,79490827,160000,APARTMENT,
GOZO,79490827,165000,FARMHOUSE,
GOZO,79490827,168000,PENTHOUSE,
GOZO,79490827,175000,PENTHOUSE,
GOZO,79490827,195000,APARTMENT,
GOZO,79490827,210000,HOUSE,
GOZO,79490827,230000,FARMHOUSE,
GOZO,79490827,258000,HOUSE,
GOZO,79490827,260000,FARMHOUSE,
GOZO,79490827,268000,PENTHOUSE,
GOZO,79490827,268000,PENTHOUSE,291
GOZO,79490827,270000,HOUSE,
GOZO,79490827,290000,HOUSE,325
GOZO,79490827,330000,FARMHOUSE,
GOZO,79490827,65000,APARTMENT,
GOZO,79490827,75000,APARTMENT,
GOZO,79490827,85000,APARTMENT,
GOZO,79490827,,HOUSE,
GOZO,79490827,,MAISONETTE,
GOZO,79494860,155000,APARTMENT,
GOZO,79494860,185000,PENTHOUSE,
GOZO,79494860,25000,APARTMENT,
GOZO,79494860,80000,APARTMENT,
GOZO,79496277,120000,MAISONETTE,
GOZO,79496277,125000,MAISONETTE,
GOZO,79496617,310000,FARMHOUSE,
GOZO,79538559,,APARTMENT,375
GOZO,79550195,192000,MAISONETTE,
GOZO,79550195,215000,APARTMENT,
GOZO,79550195,215000,MAISONETTE,
GOZO,79550195,295000,MAISONETTE,
GOZO,79550195,320000,FARMHOUSE,
GOZO,79550195,9e+05,APARTMENT,455
GOZO,79560041,120000,APARTMENT,
GOZO,79560041,120000,PLOT,
GOZO,79560041,150000,HOUSE,
GOZO,79560041,295000,FARMHOUSE,
GOZO,79561240,,APARTMENT,
GOZO,79564428,,APARTMENT,
GOZO,79571435,,APARTMENT,
GOZO,79593161,,APARTMENT,
GOZO,79603424,1e+05,MAISONETTE,
GOZO,79604975,,FARMHOUSE,
GOZO,79617914,150000,APARTMENT,
GOZO,79636884,1650000,FARMHOUSE,
GOZO,79636884,,APARTMENT,
GOZO,79679111,110000,APARTMENT,
GOZO,79679111,137000,APARTMENT,
GOZO,79679111,138000,APARTMENT,
GOZO,79679111,150000,APARTMENT,
GOZO,79679111,160000,HOUSE,188
GOZO,79679111,160000,HOUSE,200
GOZO,79679111,160000,PLOT,200
GOZO,79679111,169000,APARTMENT,
GOZO,79679111,180000,APARTMENT,
GOZO,79679111,188000,APARTMENT,
GOZO,79679111,260000,APARTMENT,
GOZO,79679111,275000,HOUSE,
GOZO,79679111,325000,HOUSE,
GOZO,79679111,340000,HOUSE,
GOZO,79679111,345000,HOUSE,
GOZO,79679111,350000,APARTMENT,
GOZO,79679111,350000,HOUSE,
GOZO,79679111,365000,HOUSE,
GOZO,79679111,375000,HOUSE,
GOZO,79679111,3e+05,PLOT,400
GOZO,79679111,53000,APARTMENT,
GOZO,79679111,69000,APARTMENT,
GOZO,79679111,75000,APARTMENT,
GOZO,79679111,80000,APARTMENT,
GOZO,79679111,85000,APARTMENT,
GOZO,79679111,95000,APARTMENT,
GOZO,79679111,,APARTMENT,
GOZO,79706073,255000,PENTHOUSE,291
GOZO,79708402,,MAISONETTE,
GOZO,79709908,4e+05,FARMHOUSE,
GOZO,79709908,,FARMHOUSE,
GOZO,79759021,160000,APARTMENT,
GOZO,79759080,130000,APARTMENT,
GOZO,79759080,132000,APARTMENT,110
GOZO,79759080,132000,PENTHOUSE,105
GOZO,79759080,133000,PENTHOUSE,
GOZO,79759080,133000,PENTHOUSE,105
GOZO,79759080,1450000,HOUSE,
GOZO,79759080,175000,PENTHOUSE,
GOZO,79759080,295000,TOWNHOUSE,
GOZO,79759080,420000,VILLA,
GOZO,79759080,460000,HOUSE,
GOZO,79759080,510000,HOUSE,
GOZO,79759080,70000,APARTMENT,
GOZO,79791514,110000,BAR,
GOZO,79791514,110000,PENTHOUSE,
GOZO,79791514,112000,PENTHOUSE,
GOZO,79816668,125000,APARTMENT,102
GOZO,79816668,24500,APARTMENT,
GOZO,79887780,115000,APARTMENT,
GOZO,79887780,127000,MAISONETTE,
GOZO,79887780,134000,APARTMENT,
GOZO,79887780,135000,APARTMENT,
GOZO,79887780,139500,PENTHOUSE,
GOZO,79887780,140000,APARTMENT,
GOZO,79887780,145000,APARTMENT,
GOZO,79887780,145000,MAISONETTE,
GOZO,79887780,150000,APARTMENT,
GOZO,79887780,155000,APARTMENT,
GOZO,79887780,170000,MAISONETTE,
GOZO,79887780,210000,TOWNHOUSE,
GOZO,79887780,230000,TOWNHOUSE,
GOZO,79887780,266000,PENTHOUSE,291
GOZO,79887780,280000,PENTHOUSE,
GOZO,79887780,290000,HOUSE,
GOZO,79887780,298000,MAISONETTE,
GOZO,79887780,346000,HOUSE,
GOZO,79887780,385000,HOUSE,
GOZO,79887780,4e+05,FARMHOUSE,
GOZO,79887780,4e+05,HOUSE,
GOZO,79887780,550000,HOUSE,1025
GOZO,79887780,675000,FARMHOUSE,
GOZO,79887780,96000,APARTMENT,
GOZO,79888879,109000,APARTMENT,
GOZO,79888879,110000,APARTMENT,
GOZO,79888879,110000,PENTHOUSE,
GOZO,79888879,111000,APARTMENT,
GOZO,79888879,115000,APARTMENT,
GOZO,79888879,118000,APARTMENT,
GOZO,79888879,120000,APARTMENT,
GOZO,79888879,120000,PENTHOUSE,
GOZO,79888879,128000,APARTMENT,
GOZO,79888879,180000,APARTMENT,
GOZO,79888879,270000,FARMHOUSE,
GOZO,79888879,285000,APARTMENT,
GOZO,79888879,350000,FARMHOUSE,
GOZO,79888879,350000,FARMHOUSE,340
GOZO,79888879,75000,APARTMENT,
GOZO,79888879,77000,APARTMENT,
GOZO,79888879,85000,APARTMENT,
GOZO,79888879,95000,PLOT,
GOZO,79888879,,APARTMENT,
GOZO,79891819,110000,MAISONETTE,167
GOZO,79891819,120000,APARTMENT,120
GOZO,79891819,169000,PENTHOUSE,205
GOZO,79891819,179000,APARTMENT,205
GOZO,79891819,77400,APARTMENT,120
GOZO,79891819,79000,APARTMENT,
GOZO,79891819,83800,MAISONETTE,167
GOZO,79891819,95000,APARTMENT,
GOZO,79891819,,APARTMENT,
GOZO,79911234,189000,APARTMENT,
GOZO,79911234,196000,APARTMENT,
GOZO,79921067,695000,PLOT,
GOZO,,85000,APARTMENT,
GOZO,,85000,APARTMENT,130
GOZO,99014068,,APARTMENT,
GOZO,99021146,175000,APARTMENT,
GOZO,99054096,360000,APARTMENT,
GOZO,99108074,975000,HOUSE,
GOZO,99108074,,HOTEL,
GOZO,99138960,3e+05,HOUSE,
GOZO,99228085,153000,HOUSE,
GOZO,99228085,218000,APARTMENT,12288
GOZO,99228085,218000,APARTMENT,13200
GOZO,99228085,66500,APARTMENT,123
GOZO,99228085,70000,APARTMENT,
GOZO,99228085,70000,APARTMENT,118
GOZO,99228085,70000,APARTMENT,123
GOZO,99228085,72000,APARTMENT,123
GOZO,99228085,85000,APARTMENT,130
GOZO,99228085,92000,PLOT,
GOZO,99228085,,APARTMENT,
GOZO,99228085,,APARTMENT,12288
GOZO,99228085,,APARTMENT,13200
GOZO,99228085,,APARTMENT,184
GOZO,99228085,,APARTMENT,36000
GOZO,99228085,,FARMHOUSE,
GOZO,99228085,,HOUSE,
GOZO,99228085,,SITE,
GOZO,99228430,,PLOT,
GOZO,99228914,,TOWNHOUSE,640
GOZO,99247033,85000,APARTMENT,
GOZO,99259920,,APARTMENT,
GOZO,99287784,115000,MAISONETTE,
GOZO,99287784,140000,MAISONETTE,
GOZO,99287784,149500,APARTMENT,
GOZO,99287784,150000,MAISONETTE,
GOZO,99287784,164000,APARTMENT,
GOZO,99287784,170000,APARTMENT,
GOZO,99287784,170000,PENTHOUSE,
GOZO,99287784,180000,PENTHOUSE,
GOZO,99287784,225000,MAISONETTE,
GOZO,99287784,230000,FARMHOUSE,
GOZO,99287784,233000,FARMHOUSE,
GOZO,99287784,235000,FARMHOUSE,
GOZO,99287784,235000,HOUSE,
GOZO,99287784,235000,TOWNHOUSE,
GOZO,99287784,240000,FARMHOUSE,
GOZO,99287784,245000,HOUSE,
GOZO,99287784,260000,FARMHOUSE,
GOZO,99287784,286000,APARTMENT,
GOZO,99287784,310000,TOWNHOUSE,
GOZO,99287784,313000,HOUSE,
GOZO,99287784,330000,HOUSE,
GOZO,99287784,350000,HOUSE,
GOZO,99287784,425000,TOWNHOUSE,
GOZO,99287784,435000,TOWNHOUSE,
GOZO,99287784,725000,HOUSE,
GOZO,99287784,75000,APARTMENT,
GOZO,99287784,830000,HOUSE,
GOZO,99287784,85000,APARTMENT,
GOZO,99287784,95000,MAISONETTE,
GOZO,99287784,,HOUSE,
GOZO,99335501,170000,PENTHOUSE,
GOZO,99338085,,FARMHOUSE,
GOZO,99403799,,PLOT,550
GOZO,99407154,190000,APARTMENT,
GOZO,99421277,,PLOT,
GOZO,99421840,95000,MAISONETTE,
GOZO,99422097,215000,APARTMENT,208
GOZO,99422146,105000,APARTMENT,
GOZO,99422146,105000,MAISONETTE,
GOZO,99422146,110000,APARTMENT,
GOZO,99422146,115000,APARTMENT,
GOZO,99422146,147000,APARTMENT,
GOZO,99422146,149000,APARTMENT,
GOZO,99422146,150000,APARTMENT,
GOZO,99422146,150000,LAND,
GOZO,99422146,150000,MAISONETTE,
GOZO,99422146,150000,PLOT,
GOZO,99422146,160000,PLOT,
GOZO,99422146,165000,PENTHOUSE,
GOZO,99422146,170000,APARTMENT,
GOZO,99422146,170000,HOUSE,
GOZO,99422146,180000,HOUSE,
GOZO,99422146,180000,PLOT,
GOZO,99422146,195000,APARTMENT,
GOZO,99422146,220000,BUNGALOW,
GOZO,99422146,225000,APARTMENT,
GOZO,99422146,225000,HOUSE,
GOZO,99422146,235000,APARTMENT,
GOZO,99422146,245000,HOUSE,
GOZO,99422146,250000,MAISONETTE,
GOZO,99422146,259000,APARTMENT,
GOZO,99422146,260000,HOUSE,
GOZO,99422146,290000,APARTMENT,
GOZO,99422146,297000,FARMHOUSE,
GOZO,99422146,297000,HOUSE,
GOZO,99422146,325000,FARMHOUSE,
GOZO,99422146,350000,HOUSE,
GOZO,99422146,354000,FARMHOUSE,
GOZO,99422146,370000,FARMHOUSE,
GOZO,99422146,395000,HOUSE,
GOZO,99422146,3e+05,FARMHOUSE,
GOZO,99422146,450000,FARMHOUSE,
GOZO,99422146,4e+05,HOUSE,
GOZO,99422146,589000,HOUSE,
GOZO,99422146,625000,VILLA,
GOZO,99422146,640000,VILLA,
GOZO,99422146,75000,APARTMENT,
GOZO,99422146,80000,APARTMENT,
GOZO,99422146,85000,APARTMENT,
GOZO,99422146,95000,APARTMENT,
GOZO,99422146,99000,APARTMENT,
GOZO,99423775,105000,APARTMENT,
GOZO,99423775,105000,FLAT,
GOZO,99423775,110000,APARTMENT,
GOZO,99423775,110000,MAISONETTE,
GOZO,99423775,115000,APARTMENT,
GOZO,99423775,125000,FLAT,
GOZO,99423775,125000,MAISONETTE,
GOZO,99423775,130000,FLAT,
GOZO,99423775,145000,APARTMENT,
GOZO,99423775,145000,PENTHOUSE,
GOZO,99423775,150000,FLAT,
GOZO,99423775,155000,FLAT,
GOZO,99423775,158000,APARTMENT,209
GOZO,99423775,158000,APARTMENT,2909
GOZO,99423775,165000,APARTMENT,200
GOZO,99423775,165000,MAISONETTE,
GOZO,99423775,187000,APARTMENT,
GOZO,99423775,195000,FLAT,
GOZO,99423775,195000,HOUSE,
GOZO,99423775,235000,APARTMENT,
GOZO,99423775,285000,HOUSE,
GOZO,99423775,32000,APARTMENT,90
GOZO,99423775,35000,APARTMENT,90
GOZO,99423775,395000,FARMHOUSE,
GOZO,99423775,395000,MAISONETTE,
GOZO,99423775,3e+05,HOUSE,
GOZO,99423775,435000,FARMHOUSE,
GOZO,99423775,65000,APARTMENT,
GOZO,99423775,70000,APARTMENT,
GOZO,99423775,70000,FLAT,
GOZO,99423775,72000,FLAT,
GOZO,99423775,85000,APARTMENT,
GOZO,99423775,90000,FLAT,
GOZO,99423775,95000,APARTMENT,
GOZO,99423775,,APARTMENT,
GOZO,99423775,,FARMHOUSE,
GOZO,99423775,,HOUSE,
GOZO,99429158,123000,APARTMENT,
GOZO,99429158,126000,PENTHOUSE,
GOZO,99429158,150000,HOUSE,
GOZO,99429158,150000,PENTHOUSE,
GOZO,99429158,151500,HOUSE,
GOZO,99429158,158000,FARMHOUSE,
GOZO,99429158,160000,FARMHOUSE,
GOZO,99429158,180000,FARMHOUSE,
GOZO,99429158,190000,FARMHOUSE,
GOZO,99429158,194000,FARMHOUSE,
GOZO,99429158,530000,HOUSE,
GOZO,99429158,85000,APARTMENT,
GOZO,99429158,88000,APARTMENT,
GOZO,99429158,92000,APARTMENT,
GOZO,99429340,195000,PLOT,
GOZO,99429340,,PLOT,
GOZO,99436393,,APARTMENT,
GOZO,99443581,3e+05,PENTHOUSE,
GOZO,99455029,105000,FLAT,180
GOZO,99455029,110000,APARTMENT,
GOZO,99455029,110000,MAISONETTE,
GOZO,99455029,115000,APARTMENT,
GOZO,99455029,115000,FLAT,
GOZO,99455029,122000,FLAT,
GOZO,99455029,125000,APARTMENT,
GOZO,99455029,130000,MAISONETTE,
GOZO,99455029,130000,MAISONETTE,300
GOZO,99455029,132000,APARTMENT,172
GOZO,99455029,135000,FLAT,
GOZO,99455029,135000,MAISONETTE,
GOZO,99455029,135000,PLOT,
GOZO,99455029,140000,HOUSE,
GOZO,99455029,145000,APARTMENT,
GOZO,99455029,148000,APARTMENT,
GOZO,99455029,150000,APARTMENT,
GOZO,99455029,160000,MAISONETTE,
GOZO,99455029,160000,PLOT,
GOZO,99455029,165000,APARTMENT,
GOZO,99455029,168000,FLAT,
GOZO,99455029,170000,PLOT,
GOZO,99455029,170000,PLOT,180
GOZO,99455029,170000,SITE,
GOZO,99455029,175000,FLAT,
GOZO,99455029,180000,APARTMENT,
GOZO,99455029,180000,MAISONETTE,
GOZO,99455029,185000,APARTMENT,
GOZO,99455029,185000,FLAT,
GOZO,99455029,185000,MAISONETTE,
GOZO,99455029,187000,APARTMENT,
GOZO,99455029,190000,PENTHOUSE,
GOZO,99455029,210000,HOUSE,
GOZO,99455029,220000,PENTHOUSE,
GOZO,99455029,220000,PLOT,
GOZO,99455029,225000,HOUSE,
GOZO,99455029,225000,PLOT,
GOZO,99455029,225000,SITE,
GOZO,99455029,245000,SITE,
GOZO,99455029,250000,APARTMENT,
GOZO,99455029,250000,HOUSE,
GOZO,99455029,260000,APARTMENT,
GOZO,99455029,265000,PENTHOUSE,
GOZO,99455029,295000,PLOT,500
GOZO,99455029,299000,HOUSE,
GOZO,99455029,345000,HOUSE,
GOZO,99455029,390000,HOUSE,
GOZO,99455029,425000,HOUSE,
GOZO,99455029,450000,TOWNHOUSE,900
GOZO,99455029,68000,APARTMENT,
GOZO,99455029,75000,MAISONETTE,
GOZO,99455029,80000,APARTMENT,
GOZO,99455029,95000,APARTMENT,
GOZO,99455029,95000,FLAT,
